"time","people_amount"
"1758520805.9682",0
"1758520810.9799",0
"1758520812.9851",0
"1758520820.0264",0
"1758520825.0486",0
"1758520830.0649",0
"1758520835.0819",0
"1758520840.1031",0
"1758520845.118",0
"1758520850.1426",0
"1758520855.1672",0
"1758520860.2012",0
"1758520865.2237",1
"1758520870.254",1
"1758520875.2906",1
"1758520880.3172",0
"1758520885.3504",0
"1758520890.38",1
"1758520895.4015",1
"1758520900.4285",1
"1758520905.4599",1
"1758520910.4862",0
"1758520915.5237",0
"1758520920.5535",0
"1758520925.5726",0
"1758520930.599",1
"1758520935.6357",1
"1758520940.6667",1
"1758520942.6791",1
"1758520952.8277",1
"1758520957.8562",0
"1758520962.8845",0
"1758520964.8946",0
"1758520971.9516",0
"1758520976.981",0
"1758520982.0217",0
"1758520987.0578",0
"1758520992.0892",1
"1758520997.1156",1
"1758521002.1408",1
"1758521007.1651",1
"1758521012.1953",1
"1758521017.2251",1
"1758521022.256",1
"1758521027.2804",0
"1758521032.3061",2
"1758521037.3288",0
"1758521042.3657",1
"1758521047.3878",1
"1758521052.4113",1
"1758521057.4358",1
"1758521062.4642",1
"1758521067.4894",0
"1758521072.5202",0
"1758521077.5517",0
"1758521082.5747",0
"1758521087.5985",0
"1758521092.6262",0
"1758521094.632",0
"1758521104.6603",0
"1758521109.6782",0
"1758521114.7039",0
"1758521116.826",0
"1758521123.9058",0
"1758521128.9361",0
"1758521133.9564",0
"1758521138.9802",0
"1758521144.0104",0
"1758521149.0486",0
"1758521154.0781",1
"1758521159.1076",0
"1758521164.1339",0
"1758521169.1614",0
"1758521174.1898",0
"1758521179.2129",0
"1758521184.2324",0
"1758521189.2624",0
"1758521194.2902",0
"1758521199.3103",0
"1758521204.3371",0
"1758521209.3715",0
"1758521214.3873",0
"1758521219.4174",0
"1758521224.4464",0
"1758521229.4728",0
"1758521234.4944",0
"1758521239.5159",0
"1758521244.5476",0
"1758521246.557",0
"1758521256.5778",0
"1758521261.5935",0
"1758521266.6335",2
"1758521268.6392",0
"1758521275.6921",0
"1758521280.7173",0
"1758521285.7482",0
"1758521290.7722",0
"1758521295.7992",0
"1758521300.8267",0
"1758521305.8584",0
"1758521310.8756",0
"1758521315.9067",1
"1758521320.9384",0
"1758521325.9684",0
"1758521330.9978",0
"1758521336.0178",0
"1758521341.0422",0
"1758521346.075",0
"1758521351.0994",0
"1758521356.1238",0
"1758521361.1423",0
"1758521366.1691",0
"1758521371.1881",0
"1758521376.2187",0
"1758521381.2374",0
"1758521386.2706",0
"1758521391.294",0
"1758521396.3208",0
"1758521399.3322",0
"1758521408.3447",0
"1758521413.3748",0
"1758521418.4076",0
"1758521420.4116",0
"1758521428.5082",0
"1758521433.5394",0
"1758521438.5851",0
"1758521443.6314",0
"1758521448.6579",0
"1758521453.6875",0
"1758521458.7087",0
"1758521463.7292",0
"1758521468.7528",1
"1758521473.7814",0
"1758521478.8011",0
"1758521483.8302",0
"1758521488.8547",0
"1758521493.8891",0
"1758521498.9125",0
"1758521503.9395",0
"1758521508.9561",0
"1758521513.9714",0
"1758521518.9859",0
"1758521524.0014",0
"1758521529.0355",0
"1758521534.054",1
"1758521539.0869",0
"1758521544.1101",0
"1758521549.1276",0
"1758521551.1362",0
"1758521560.162",0
"1758521565.1876",0
"1758521570.2122",0
"1758521572.2251",0
"1758521580.2917",0
"1758521585.3182",0
"1758521590.3433",0
"1758521595.3758",0
"1758521600.411",0
"1758521605.4468",0
"1758521610.4676",0
"1758521615.5053",0
"1758521620.5362",0
"1758521625.9338",0
"1758521630.9432",0
"1758521635.9665",0
"1758521640.9976",0
"1758521646.0351",0
"1758521651.0632",0
"1758521656.0925",0
"1758521661.114",0
"1758521666.1324",0
"1758521671.1502",0
"1758521676.1801",0
"1758521681.1945",0
"1758521686.2248",0
"1758521691.2629",0
"1758521696.2894",0
"1758521701.306",0
"1758521703.3161",0
"1758521712.4171",0
"1758521717.4351",0
"1758521722.4632",0
"1758521724.4783",0
"1758521731.5317",0
"1758521736.5641",0
"1758521741.611",0
"1758521746.6372",0
"1758521751.6686",0
"1758521756.6912",0
"1758521761.735",0
"1758521766.7606",0
"1758521771.7809",0
"1758521776.8005",0
"1758521781.8445",0
"1758521786.8693",0
"1758521791.8947",1
"1758521796.9119",0
"1758521801.9554",0
"1758521806.9745",0
"1758521812.0135",0
"1758521817.0448",0
"1758521822.0689",0
"1758521827.0865",0
"1758521832.1094",0
"1758521837.14",0
"1758521842.1593",0
"1758521847.188",0
"1758521852.2212",0
"1758521855.2378",0
"1758521864.2622",0
"1758521869.2906",0
"1758521874.3112",0
"1758521876.3198",0
"1758521884.4697",0
"1758521889.612",0
"1758521894.6678",0
"1758521899.685",0
"1758521904.7132",0
"1758521909.735",0
"1758521914.7725",0
"1758521919.7953",0
"1758521924.8094",0
"1758521929.8399",0
"1758521934.8646",0
"1758521939.89",0
"1758521944.9217",0
"1758521949.9508",0
"1758521954.9764",0
"1758521959.9951",0
"1758521965.0186",1
"1758521970.0469",0
"1758521975.0727",0
"1758521980.0959",0
"1758521985.1172",0
"1758521990.1476",0
"1758521995.1652",0
"1758522000.1787",0
"1758522005.1963",0
"1758522007.2042",0
"1758522016.247",0
"1758522021.2726",0
"1758522026.2983",0
"1758522028.3092",0
"1758522035.3709",0
"1758522040.3983",0
"1758522045.4156",0
"1758522050.4469",0
"1758522055.475",0
"1758522060.505",0
"1758522065.5276",0
"1758522070.553",0
"1758522075.5954",0
"1758522080.6311",0
"1758522085.659",1
"1758522090.6867",0
"1758522095.7127",0
"1758522100.753",0
"1758522105.7809",0
"1758522110.8113",0
"1758522115.8471",0
"1758522120.8747",0
"1758522125.9007",0
"1758522130.9246",0
"1758522135.9467",0
"1758522140.977",0
"1758522146.0152",0
"1758522151.0358",0
"1758522156.0606",0
"1758522159.0753",0
"1758522168.1458",0
"1758522173.1676",0
"1758522178.1961",0
"1758522180.211",0
"1758522188.2838",0
"1758522193.3253",1
"1758522198.3506",0
"1758522203.3861",1
"1758522208.4132",0
"1758522213.4472",0
"1758522218.4748",0
"1758522223.4936",0
"1758522228.5251",0
"1758522233.5527",0
"1758522238.5732",0
"1758522243.6082",0
"1758522248.6395",0
"1758522253.6623",0
"1758522258.6992",0
"1758522263.7332",0
"1758522268.7578",0
"1758522273.781",0
"1758522278.8058",1
"1758522283.8303",0
"1758522288.8549",0
"1758522293.8858",0
"1758522298.9197",0
"1758522303.9452",0
"1758522308.9666",0
"1758522310.9743",0
"1758522319.971",0
"1758522324.9974",0
"1758522330.0268",0
"1758522333.0365",0
"1758522340.0882",0
"1758522345.1139",0
"1758522350.1482",0
"1758522355.1783",0
"1758522360.2133",0
"1758522365.242",0
"1758522370.262",0
"1758522375.2947",0
"1758522380.3245",0
"1758522385.3589",0
"1758522390.3925",0
"1758522395.411",0
"1758522400.4289",0
"1758522405.4405",0
"1758522410.4605",1
"1758522415.4841",1
"1758522420.509",1
"1758522425.528",0
"1758522430.5486",0
"1758522435.5748",0
"1758522440.6062",0
"1758522445.641",0
"1758522450.6691",0
"1758522455.6938",0
"1758522460.7077",0
"1758522462.7177",0
"1758522472.7505",0
"1758522477.7796",0
"1758522482.808",0
"1758522484.8242",0
"1758522491.9249",0
"1758522496.9646",0
"1758522502.001",0
"1758522507.0259",0
"1758522512.0491",0
"1758522517.0636",0
"1758522522.0838",0
"1758522527.1074",0
"1758522532.124",0
"1758522537.1484",0
"1758522542.1726",0
"1758522547.1928",0
"1758522552.2098",0
"1758522557.2293",0
"1758522562.2585",0
"1758522567.2844",0
"1758522572.3056",0
"1758522577.3255",0
"1758522582.3431",0
"1758522587.3644",0
"1758522592.3863",0
"1758522597.4118",0
"1758522602.4311",0
"1758522607.4704",0
"1758522612.4933",0
"1758522615.5054",0
"1758522624.5338",0
"1758522629.5593",0
"1758522634.5862",0
"1758522636.6011",0
"1758522644.6558",1
"1758522649.6754",1
"1758522654.7034",0
"1758522659.7342",0
"1758522664.7593",0
"1758522669.776",0
"1758522674.7992",0
"1758522679.828",0
"1758522684.8613",0
"1758522689.8878",0
"1758522694.9119",0
"1758522699.9283",0
"1758522704.9584",0
"1758522709.9935",0
"1758522715.0115",0
"1758522720.0389",0
"1758522725.0699",0
"1758522730.0892",0
"1758522735.114",0
"1758522740.146",0
"1758522745.1805",0
"1758522750.1944",0
"1758522755.2137",0
"1758522760.2386",0
"1758522765.2608",0
"1758522767.267",0
"1758522776.3088",0
"1758522781.3358",0
"1758522786.3704",0
"1758522788.3862",0
"1758522795.4637",0
"1758522800.4924",0
"1758522805.5344",0
"1758522810.566",0
"1758522815.5976",0
"1758522820.6306",0
"1758522825.6483",0
"1758522830.6755",0
"1758522835.6986",0
"1758522840.7239",0
"1758522845.7376",0
"1758522850.7618",0
"1758522855.784",0
"1758522860.8122",0
"1758522865.8299",1
"1758522870.8525",0
"1758522875.87",0
"1758522880.8972",0
"1758522885.9188",0
"1758522890.9363",1
"1758522895.9548",0
"1758522900.9706",1
"1758522905.9964",1
"1758522911.0214",0
"1758522916.0455",0
"1758522919.056",1
"1758522928.066",0
"1758522933.0924",0
"1758522938.1112",0
"1758522941.2352",2
"1758522950.2958",1
"1758522955.3278",1
"1758522960.3564",1
"1758522965.3862",0
"1758522970.4204",1
"1758522975.4445",0
"1758522980.4831",0
"1758522985.5091",0
"1758522990.5325",0
"1758522995.5597",0
"1758523000.5808",0
"1758523005.604",0
"1758523010.6228",0
"1758523015.6484",0
"1758523020.6694",0
"1758523025.6953",1
"1758523030.7285",1
"1758523035.7427",1
"1758523040.7646",0
"1758523045.7856",0
"1758523050.8065",0
"1758523055.8201",0
"1758523060.8452",0
"1758523065.8774",0
"1758523070.8967",0
"1758523079.9887",0
"1758523085.1253",1
"1758523091.1765",0
"1758523094.1886",0
"1758523102.239",0
"1758523107.2621",0
"1758523112.2803",0
"1758523117.3023",0
"1758523122.3187",0
"1758523127.3407",0
"1758523132.3765",0
"1758523137.4025",0
"1758523142.4361",0
"1758523147.4644",0
