"time","people_amount"
"1759708804.0907",0
"1759708809.1114",0
"1759708814.1567",0
"1759708819.1712",0
"1759708824.2028",0
"1759708829.2319",0
"1759708834.2488",0
"1759708839.2681",0
"1759708844.2846",0
"1759708849.3107",0
"1759708854.3402",0
"1759708859.367",0
"1759708864.3878",0
"1759708869.401",0
"1759708874.4236",0
"1759708879.4673",0
"1759708884.5035",0
"1759708889.5375",0
"1759708894.5654",0
"1759708899.5909",0
"1759708904.6179",0
"1759708909.6505",0
"1759708914.68",0
"1759708919.705",0
"1759708924.7383",0
"1759708929.7767",0
"1759708934.8135",0
"1759708939.8392",0
"1759708944.8761",0
"1759708949.9072",0
"1759708954.9394",0
"1759708959.9677",0
"1759708964.9983",0
"1759708970.027",0
"1759708975.0592",0
"1759708980.0945",0
"1759708985.1152",0
"1759708990.1386",0
"1759708995.1633",0
"1759709000.1881",0
"1759709005.2107",0
"1759709010.253",0
"1759709016.268",0
"1759709021.3043",0
"1759709026.3257",0
"1759709031.3572",0
"1759709036.3745",0
"1759709041.4083",0
"1759709047.4127",0
"1759709052.4264",0
"1759709057.4738",0
"1759709062.5084",0
"1759709067.541",0
"1759709072.5793",0
"1759709077.6005",0
"1759709082.6441",0
"1759709087.685",0
"1759709092.7223",0
"1759709097.7649",0
"1759709102.7981",0
"1759709107.8182",0
"1759709112.8487",0
"1759709117.8668",0
"1759709122.8837",0
"1759709127.9043",0
"1759709132.9315",0
"1759709137.9592",0
"1759709142.9853",0
"1759709148.0112",0
"1759709153.0428",0
"1759709158.0659",0
"1759709163.0968",0
"1759709168.1408",0
"1759709173.175",0
"1759709178.1961",0
"1759709183.2092",0
"1759709188.2229",0
"1759709193.2463",0
"1759709198.2675",0
"1759709203.2788",0
"1759709208.3013",0
"1759709213.3299",0
"1759709218.3461",0
"1759709223.3839",0
"1759709228.4237",0
"1759709233.4696",0
"1759709238.5052",0
"1759709243.5312",0
"1759709248.5597",0
"1759709253.5906",0
"1759709258.6254",0
"1759709263.6476",0
"1759709268.6739",0
"1759709273.6985",0
"1759709278.7154",0
"1759709283.7372",0
"1759709288.7635",0
"1759709293.7825",0
"1759709298.8065",0
"1759709303.8258",0
"1759709308.8445",0
"1759709313.8629",0
"1759709318.9027",0
"1759709323.927",0
"1759709328.9623",0
"1759709333.9868",0
"1759709339.024",0
"1759709344.0547",0
"1759709349.088",0
"1759709354.122",0
"1759709359.1509",0
"1759709364.1824",0
"1759709369.2003",0
"1759709374.2417",0
"1759709379.2741",0
"1759709384.2923",0
"1759709389.3239",0
"1759709394.3649",0
"1759709399.3872",0
"1759709404.4306",0
"1759709409.4697",0
"1759709413.4932",0
"1759709419.5742",0
"1759709424.6194",0
"1759709429.6217",0
"1759709434.6583",0
"1759709439.7034",0
"1759709444.7476",0
"1759709449.7911",0
"1759709454.8328",0
"1759709459.8746",0
"1759709464.9069",0
"1759709469.9502",0
"1759709474.9886",0
"1759709480.0257",0
"1759709485.068",0
"1759709490.1032",0
"1759709495.149",0
"1759709500.1768",0
"1759709505.2145",0
"1759709510.2482",0
"1759709515.2954",0
"1759709520.3402",0
"1759709525.3834",0
"1759709530.4202",0
"1759709535.44",0
"1759709540.4863",0
"1759709545.5244",0
"1759709550.5625",0
"1759709555.606",0
"1759709560.6494",0
"1759709565.6843",0
"1759709570.7171",0
"1759709575.7598",0
"1759709580.7957",0
"1759709585.8382",0
"1759709590.8748",0
"1759709595.9013",0
"1759709600.9388",0
"1759709605.98",0
"1759709611.0171",0
