"time","people_amount"
"1759104002.2224",0
"1759104007.2508",0
"1759104012.2716",0
"1759104017.2874",0
"1759104022.3176",0
"1759104027.3392",0
"1759104032.3693",0
"1759104037.3942",0
"1759104042.4181",0
"1759104047.44",0
"1759104052.4706",0
"1759104057.4855",0
"1759104062.4989",0
"1759104067.5288",0
"1759104072.569",0
"1759104077.6005",0
"1759104082.6178",0
"1759104087.6478",0
"1759104092.6597",0
"1759104097.6995",0
"1759104102.7192",0
"1759104107.7574",0
"1759104112.7943",0
"1759104117.8295",0
"1759104122.8604",0
"1759104127.9056",0
"1759104132.9414",0
"1759104137.9725",0
"1759104143.0023",0
"1759104148.0308",0
"1759104153.0652",0
"1759104158.1125",0
"1759104163.1471",0
"1759104168.1808",0
"1759104173.2018",0
"1759104178.2252",0
"1759104183.2373",0
"1759104188.2506",0
"1759104193.2596",0
"1759104198.2879",0
"1759104203.3192",0
"1759104208.3501",0
"1759104213.391",0
"1759104218.4179",0
"1759104223.4481",0
"1759104228.4763",0
"1759104233.4873",0
"1759104238.5011",0
"1759104243.5143",0
"1759104248.5457",0
"1759104253.5752",0
"1759104258.6239",0
"1759104263.6393",0
"1759104268.6756",0
"1759104273.7061",0
"1759104278.7355",0
"1759104283.7599",0
"1759104288.7968",0
"1759104293.8242",0
"1759104298.8528",0
"1759104303.8821",0
"1759104308.9084",0
"1759104313.9317",0
"1759104318.9438",0
"1759104323.9581",0
"1759104328.9809",0
"1759104334.0131",0
"1759104339.0429",0
"1759104344.0736",0
"1759104349.1011",0
"1759104354.1399",0
"1759104359.1607",0
"1759104364.1997",0
"1759104369.2252",0
"1759104374.2551",0
"1759104379.2652",0
"1759104384.2843",0
"1759104389.3084",0
"1759104394.3376",0
"1759104399.3603",0
"1759104404.39",0
"1759104409.4247",0
"1759104414.4594",0
"1759104419.4814",0
"1759104424.5104",0
"1759104429.5397",0
"1759104434.5691",0
"1759104439.5985",0
"1759104444.6261",0
"1759104449.6536",0
"1759104454.6656",0
"1759104459.692",0
"1759104464.7175",0
"1759104469.748",0
"1759104474.7599",0
"1759104479.7639",0
"1759104484.8034",0
"1759104489.8325",0
"1759104494.8768",0
"1759104499.9208",0
"1759104504.9581",0
"1759104509.9983",0
"1759104515.0271",0
"1759104520.0523",0
"1759104525.0736",0
"1759104530.1183",0
"1759104535.148",0
"1759104540.1674",0
"1759104545.1964",0
"1759104550.2215",0
"1759104555.2369",0
"1759104560.2657",0
"1759104565.3002",0
"1759104570.3195",0
"1759104575.3519",0
"1759104580.3816",0
"1759104585.4148",0
"1759104590.4401",0
"1759104595.4701",0
"1759104600.4962",0
"1759104605.5244",0
"1759104610.5554",0
"1759104615.5879",0
"1759104620.619",0
"1759104625.6507",0
"1759104630.6794",0
"1759104635.694",0
"1759104640.7077",0
"1759104645.7266",0
"1759104650.7438",0
"1759104655.7586",0
"1759104660.7795",0
"1759104665.7924",0
"1759104670.8129",0
"1759104675.8389",0
"1759104680.869",0
"1759104685.9005",0
"1759104690.9222",0
"1759104695.9684",0
"1759104701.0122",0
"1759104706.0504",0
"1759104711.0874",0
"1759104716.1251",0
"1759104721.1609",0
"1759104726.1954",0
"1759104731.2252",0
"1759104736.2707",0
"1759104741.309",0
"1759104746.3367",0
"1759104751.3632",0
"1759104756.3945",0
"1759104761.4207",0
"1759104766.4475",0
"1759104771.4795",0
"1759104776.5048",0
"1759104781.5298",0
"1759104786.5568",0
"1759104791.5927",0
"1759104796.6223",0
"1759104801.6518",0
"1759104806.6844",0
"1759104811.7121",0
"1759104816.7311",0
"1759104821.7659",0
"1759104826.803",0
"1759104831.8357",0
"1759104836.8617",0
"1759104841.8958",0
"1759104846.9335",0
"1759104851.9702",0
"1759104856.984",0
"1759104861.999",0
"1759104867.0145",0
"1759104872.0573",0
"1759104877.1004",0
"1759104882.1444",0
"1759104887.1869",0
"1759104892.2288",0
"1759104897.259",0
"1759104902.2888",0
"1759104907.3155",0
"1759104912.3392",0
"1759104917.3615",0
"1759104922.3877",0
"1759104927.4088",0
"1759104932.4293",0
"1759104937.4497",0
"1759104942.4785",0
"1759104947.5027",0
"1759104952.5329",0
"1759104957.5543",0
"1759104962.581",0
"1759104967.6043",0
"1759104972.6238",0
"1759104977.6419",0
"1759104982.6644",0
"1759104987.6924",0
"1759104992.724",0
"1759104997.7702",0
"1759105002.8142",0
"1759105007.8495",0
"1759105012.8866",0
"1759105017.9231",0
"1759105022.9509",0
"1759105027.9631",0
"1759105032.9768",0
"1759105038.0097",0
"1759105044.021",0
"1759105049.0386",0
"1759105054.0586",0
"1759105059.086",0
"1759105064.1258",0
"1759105069.1477",0
"1759105074.1651",0
"1759105079.1939",0
"1759105084.2198",0
"1759105089.2495",0
"1759105094.2724",0
"1759105099.2977",0
"1759105104.3243",0
"1759105109.3473",0
"1759105114.376",0
"1759105119.4013",0
"1759105124.4276",0
"1759105129.4553",0
"1759105134.485",0
"1759105139.5115",0
"1759105144.5458",0
"1759105149.5888",0
"1759105154.623",0
"1759105159.6551",0
"1759105164.6837",0
"1759105169.7165",0
"1759105174.7424",0
"1759105179.7779",0
"1759105184.8151",0
"1759105189.8438",0
"1759105194.8764",0
"1759105199.9032",0
"1759105204.9391",0
"1759105209.9725",0
"1759105215.0008",0
"1759105220.0184",0
"1759105225.0326",0
"1759105230.0546",0
"1759105235.0778",0
"1759105240.101",0
"1759105245.1236",0
"1759105250.1547",0
"1759105255.1773",0
"1759105260.201",0
"1759105265.2365",0
"1759105270.2546",0
"1759105275.2789",0
"1759105280.3117",0
"1759105285.336",0
"1759105290.3654",0
"1759105295.3895",0
"1759105300.4327",0
"1759105305.4695",0
"1759105310.495",0
"1759105315.5279",0
"1759105320.5602",0
"1759105325.5948",0
"1759105330.6375",0
"1759105335.6725",0
"1759105340.7098",0
"1759105345.748",0
"1759105350.7752",0
"1759105355.8038",0
"1759105360.8283",0
"1759105365.8506",0
"1759105370.8881",0
"1759105375.9086",0
"1759105380.9272",0
"1759105385.9515",0
"1759105390.9834",0
"1759105396.0009",0
"1759105401.0195",0
"1759105406.046",0
"1759105411.0747",0
"1759105416.1045",0
"1759105421.1363",0
"1759105426.1666",0
"1759105431.1854",0
"1759105436.2132",0
"1759105441.2374",0
"1759105446.2744",0
"1759105451.3019",0
"1759105456.3241",0
"1759105461.353",0
"1759105466.3816",0
"1759105471.404",0
"1759105477.4247",0
"1759105482.4728",0
"1759105487.5022",0
"1759105492.5357",0
"1759105497.5588",0
"1759105502.5822",0
"1759105507.6105",0
"1759105512.6357",0
"1759105517.6602",0
"1759105522.6902",0
"1759105527.7179",0
"1759105532.7433",0
"1759105537.77",0
"1759105542.7944",0
"1759105547.8209",0
"1759105552.8494",0
"1759105557.8801",0
"1759105562.9048",0
"1759105567.9298",0
"1759105572.9659",0
"1759105577.9934",0
"1759105583.0199",0
"1759105588.0478",0
"1759105593.0804",0
"1759105598.0995",0
"1759105603.127",0
"1759105608.1521",0
"1759105613.1813",0
"1759105618.1999",0
"1759105623.2273",0
"1759105628.2558",0
"1759105633.2831",0
"1759105638.3031",0
"1759105643.3256",0
"1759105648.3496",0
"1759105653.3724",0
"1759105658.3878",0
"1759105663.4108",0
"1759105668.4297",0
"1759105673.4434",0
"1759105678.4634",0
"1759105683.4983",0
"1759105688.5326",0
"1759105693.5542",0
"1759105698.5817",0
"1759105703.6098",0
"1759105708.6375",0
"1759105713.6672",0
"1759105718.6876",0
"1759105723.7062",0
"1759105728.7305",0
"1759105733.7472",0
"1759105738.7829",0
"1759105743.8124",0
"1759105748.8353",0
"1759105753.8558",0
