"time","people_amount"
"1759708801.2073",1
"1759708806.2131",1
"1759708811.2249",1
"1759708816.2467",1
"1759708821.2648",1
"1759708826.28",1
"1759708831.2973",1
"1759708836.3189",1
"1759708841.3289",1
"1759708846.3556",1
"1759708851.3844",1
"1759708856.4176",1
"1759708858.434",1
"1759708867.4555",1
"1759708872.4741",1
"1759708877.4931",1
"1759708882.5041",1
"1759708887.5401",1
"1759708892.569",1
"1759708897.5976",1
"1759708902.6263",1
"1759708907.6533",1
"1759708912.6831",1
"1759708915.7023",1
"1759708922.895",1
"1759708927.9112",1
"1759708932.9176",1
"1759708937.9312",1
"1759708942.9504",1
"1759708947.9589",1
"1759708952.99",1
"1759708958.0193",1
"1759708963.0504",1
"1759708968.0785",1
"1759708973.1083",1
"1759708978.1499",1
"1759708983.1673",1
"1759708988.1873",1
"1759708993.2152",1
"1759708998.2396",1
"1759709003.2626",1
"1759709008.3005",1
"1759709010.3144",1
"1759709019.3225",1
"1759709024.3423",1
"1759709029.3604",1
"1759709034.3792",1
"1759709039.4063",1
"1759709044.4382",1
"1759709049.46",1
"1759709054.4824",1
"1759709059.5034",1
"1759709064.5272",1
"1759709067.6982",1
"1759709074.7503",1
"1759709079.7618",1
"1759709084.7687",1
"1759709089.7813",1
"1759709094.808",1
"1759709099.8301",1
"1759709104.8609",1
"1759709109.8856",1
"1759709114.905",1
"1759709119.9215",1
"1759709124.9434",1
"1759709129.9716",1
"1759709134.9943",1
"1759709140.0184",1
"1759709145.0487",1
"1759709150.0778",1
"1759709155.1034",1
"1759709160.135",1
"1759709162.1459",1
"1759709171.1785",1
"1759709176.1975",1
"1759709181.2059",1
"1759709186.2222",1
"1759709191.2406",1
"1759709196.2661",1
"1759709201.2801",1
"1759709206.3103",1
"1759709211.3311",1
"1759709216.3512",1
"1759709219.3563",1
"1759709226.5176",1
"1759709231.535",1
"1759709236.5524",1
"1759709241.5741",1
"1759709246.602",1
"1759709251.6321",1
"1759709256.6679",1
"1759709261.6915",1
"1759709266.7287",1
"1759709271.7487",1
"1759709276.7681",1
"1759709281.7929",1
"1759709286.8141",1
"1759709291.8349",1
"1759709296.8557",1
"1759709301.8786",1
"1759709306.898",1
"1759709311.9262",1
"1759709313.9444",1
"1759709323.9449",1
"1759709328.9771",1
"1759709334.0004",1
"1759709339.0404",1
"1759709344.0701",1
"1759709349.1041",1
