"time","people_amount"
"1759104003.4197",0
"1759104008.4414",0
"1759104013.4743",0
"1759104018.4839",0
"1759104023.5087",0
"1759104028.5388",0
"1759104033.5576",0
"1759104038.5737",0
"1759104043.5896",0
"1759104048.6026",0
"1759104053.6142",0
"1759104058.6403",0
"1759104063.6663",0
"1759104068.68",0
"1759104073.6994",0
"1759104075.7067",0
"1759104084.9842",0
"1759104090.0071",0
"1759104095.016",0
"1759104100.0245",0
"1759104103.0371",0
"1759104110.1185",0
"1759104115.1382",0
"1759104120.1652",0
"1759104125.1876",0
"1759104130.1999",0
"1759104135.216",0
"1759104140.2383",0
"1759104145.2547",0
"1759104150.2708",0
"1759104155.2912",0
"1759104160.3066",0
"1759104165.3166",0
"1759104170.3316",0
"1759104175.3516",0
"1759104180.3648",0
"1759104185.3746",0
"1759104190.3867",0
"1759104195.4052",0
"1759104200.4158",0
"1759104205.4273",0
"1759104210.4445",0
"1759104215.479",0
"1759104220.5033",0
"1759104225.5283",0
"1759104227.5368",0
"1759104237.5484",0
"1759104242.5641",0
"1759104247.5891",0
"1759104252.6225",0
"1759104255.6388",0
"1759104262.8135",0
"1759104267.8278",0
"1759104272.851",0
"1759104277.8895",0
"1759104282.9085",0
"1759104287.9361",0
"1759104292.9564",0
"1759104297.9696",0
"1759104302.9828",0
"1759104308.0209",0
"1759104313.0526",0
"1759104318.0728",0
"1759104323.096",0
"1759104328.1163",0
"1759104333.1405",0
"1759104338.1577",0
"1759104343.1638",0
"1759104348.1703",0
"1759104353.2028",0
"1759104358.2383",0
"1759104363.2638",0
"1759104368.2863",0
"1759104373.3183",0
"1759104378.333",0
"1759104380.3451",0
"1759104389.3658",0
"1759104394.3945",0
"1759104399.4153",0
"1759104404.4333",0
"1759104407.4414",0
"1759104414.5192",0
"1759104419.5528",0
"1759104424.5727",0
"1759104429.6018",0
"1759104434.6294",0
"1759104439.6571",0
"1759104444.6945",0
"1759104449.7215",0
"1759104454.751",0
"1759104459.7877",0
"1759104464.8157",0
"1759104469.8358",0
"1759104474.8566",0
"1759104479.8939",0
"1759104484.9321",0
"1759104489.9621",0
"1759104494.9888",0
"1759104500.0191",0
"1759104505.0357",0
"1759104510.0763",0
"1759104515.1063",0
