"time","people_amount"
"1759104002.4116",0
"1759104007.4362",0
"1759104012.469",0
"1759104017.5002",0
"1759104022.5084",0
"1759104027.5327",0
"1759104032.5562",0
"1759104037.5723",0
"1759104042.585",0
"1759104047.6013",0
"1759104048.6025",0
"1759104057.6819",0
"1759104063.7667",0
"1759104068.7859",0
"1759104073.796",0
"1759104078.8077",0
"1759104083.8276",0
"1759104088.8432",0
"1759104093.8629",0
"1759104098.8783",0
"1759104103.8955",0
"1759104106.9007",0
"1759104115.0269",0
"1759104120.0422",0
"1759104125.0658",0
"1759104130.0813",0
"1759104135.092",0
"1759104140.1081",0
"1759104145.1175",0
"1759104150.1274",0
"1759104155.1442",0
"1759104160.1707",0
"1759104165.2028",0
"1759104170.2324",0
"1759104175.2531",0
"1759104180.2667",0
"1759104185.2801",0
"1759104190.2907",0
"1759104195.3108",0
"1759104200.339",0
"1759104205.3316",0
"1759104211.461",0
"1759104216.4776",0
"1759104221.4902",0
"1759104226.5099",0
"1759104231.5308",0
"1759104236.5544",0
"1759104241.5701",0
"1759104246.5915",0
"1759104251.6044",0
"1759104256.6366",0
"1759104258.6445",0
"1759104266.7761",0
"1759104271.7907",0
"1759104276.8088",0
"1759104281.8356",0
"1759104286.8402",0
"1759104291.8653",0
"1759104296.8939",0
"1759104301.921",0
"1759104306.9512",0
"1759104311.9833",0
"1759104316.9959",0
"1759104322.0094",0
"1759104327.0298",0
"1759104332.063",0
"1759104337.096",0
"1759104342.1246",0
"1759104347.1521",0
"1759104352.1842",0
"1759104358.1919",0
"1759104363.2176",0
"1759104368.2379",0
"1759104373.2615",0
"1759104378.2757",0
"1759104383.2904",0
"1759104388.3159",0
"1759104393.3455",0
"1759104398.3709",0
"1759104403.4023",0
"1759104408.4316",0
"1759104410.4391",0
"1759104418.589",0
"1759104423.6026",0
"1759104428.6186",0
"1759104433.6359",0
"1759104438.6636",0
"1759104443.6986",0
"1759104448.7209",0
"1759104453.7357",0
"1759104458.7679",0
"1759104463.7935",0
"1759104468.8219",0
"1759104473.84",0
"1759104478.8825",0
"1759104483.9234",0
"1759104488.9543",0
"1759104493.984",0
"1759104499.0079",0
"1759104504.0224",0
"1759104510.0354",0
"1759104515.0596",0
"1759104520.0817",0
"1759104525.1036",0
"1759104530.1332",0
"1759104535.1605",0
"1759104540.1804",0
"1759104545.2105",0
"1759104550.2389",0
"1759104555.253",0
"1759104560.2794",0
"1759104563.3011",0
"1759104570.3466",0
"1759104575.3809",0
"1759104580.4107",0
"1759104585.435",0
"1759104590.457",0
"1759104595.4712",0
"1759104600.4844",0
"1759104605.4962",0
"1759104610.5082",0
"1759104615.5179",0
"1759104620.5265",0
"1759104625.5393",0
"1759104630.5542",0
"1759104635.5657",0
"1759104640.575",0
"1759104645.5935",0
"1759104650.6058",0
"1759104655.6228",0
"1759104656.6277",0
"1759104666.6737",0
"1759104671.6947",0
"1759104676.6998",0
"1759104681.7106",0
"1759104686.7213",0
"1759104691.7442",0
"1759104696.7577",0
"1759104701.766",0
"1759104706.7902",0
"1759104711.8055",0
"1759104714.8143",0
"1759104721.877",0
"1759104726.8956",0
"1759104731.9141",0
"1759104736.9296",0
"1759104741.9441",0
"1759104746.9592",0
"1759104751.9714",0
"1759104756.9869",0
"1759104762.002",0
"1759104767.0161",0
"1759104772.0248",0
"1759104777.0337",0
"1759104782.0603",0
"1759104787.0709",0
"1759104792.0772",0
"1759104797.0853",0
"1759104802.0925",0
"1759104807.104",0
"1759104809.1131",0
"1759104818.2772",0
"1759104823.2937",0
"1759104828.3059",0
"1759104833.3195",0
"1759104838.3328",0
"1759104843.345",0
"1759104848.3691",0
"1759104853.3863",0
"1759104858.4148",0
"1759104863.4331",0
"1759104866.436",0
"1759104874.4705",0
"1759104879.481",0
"1759104884.4901",0
"1759104889.5211",0
"1759104894.5257",0
"1759104899.5295",0
"1759104904.5416",0
"1759104909.5572",0
"1759104914.5698",0
"1759104919.594",0
"1759104924.6114",0
"1759104929.6265",0
"1759104934.639",0
